id,name,dutch_name
190,Branta hutchinsii,Kleine Canadese gans
191,Fringilla montifringilla,Keep (vogel)
192,Fringilla coelebs,Vink (vogel)
193,Junco hyemalis,Grijze junco
194,Cuculus canorus,Koekoek (vogel)
195,Junco phaeonotus,Geeloogjunco
196,Ammodramus nelsoni,Nelsons spitsstaartgors
197,Ammodramus savannarum,Sprinkhaangors
198,Ammodramus maritimus,Kweldergors
199,Coccyzus erythropthalmus,Zwartsnavelkoekoek
200,Coccyzus minor,Mangrovekoekoek
201,Coccyzus americanus,Geelsnavelkoekoek
202,Nucifraga columbiana,Grijze notenkraker
203,Crotophaga sulcirostris,Groefsnavelani
204,Pooecetes gramineus,Avondgors
205,Arremonops rufivirgatus,Olijfgors
206,Geococcyx californianus,Grote renkoekoek
207,Geococcyx velox,Kleine renkoekoek
208,Coereba flaveola,Suikerdiefje
209,Passerina ciris,Purpergors
210,Alectura lathami,Boskalkoen
211,Passerina leclancherii,Regenbooggors
212,Passerina amoena,Lazuligors
213,Icteria virens,Geelborstzanger
214,Crax rubra,Bruine hokko
215,Penelope purpurascens,Kuifsjakohoen
216,Copsychus malabaricus,Shamalijster
217,Paroaria capitata,Geelsnavelkardinaal
218,Cyanerpes cyaneus,Blauwe suikervogel
219,Microcarbo melanoleucos brevirostris,404
220,Sphyrapicus thyroideus,Bergsapspecht
221,Pheucticus ludovicianus,Roodborstkardinaal
222,Sphyrapicus ruber,Roodborstsapspecht
223,Pheucticus melanocephalus,Zwartkopkardinaal
224,Sphyrapicus nuchalis,Roodneksapspecht
225,Ortalis poliocephala,Westmexicaanse chachalaca
226,Ortalis vetula,Bruine chachalaca
227,Corvus albus,Schildraaf
228,Mniotilta varia,Bonte zanger
229,Volatinia jacarina,Jacarinagors
230,Thraupis palmarum,Palmtangare
231,Momotus mexicanus,Bruinkapmotmot
232,Euphagus cyanocephalus,Brewers troepiaal
233,Cacatua galerita,Grote geelkuifkaketoe
234,Junco hyemalis oreganus,404
235,Pluvialis fulva,Aziatische goudplevier
236,Molothrus aeneus,Roodoogkoevogel
237,Molothrus ater,Bruinkopkoevogel
238,Merops pusillus,Dwergbijeneter
239,Merops apiaster,Bijeneter
240,Pteroglossus torquatus,Halsbandarassari
241,Loxia curvirostra,Kruisbek
242,Merops orientalis,Aziatische kleine groene bijeneter
243,Loxia leucoptera,Witbandkruisbek
244,Coracias garrulus,Scharrelaar
245,Coracias caudatus,Vorkstaartscharrelaar
246,Coracias benghalensis,Indische scharrelaar
247,Xanthocephalus xanthocephalus,Geelkoptroepiaal
248,Chondestes grammacus,Roodoorgors
249,Dolichonyx oryzivorus,Bobolink
250,Pandion haliaetus,Visarend
251,Phainopepla nitens,Zwarte zijdevliegenvanger
252,Tyrannus couchii,Texaanse koningstiran
253,Phylloscopus collybita,Tjiftjaf
254,Circus cyaneus hudsonius,404
255,Grallina cyanoleuca,Australische slijkekster
256,Plectrophenax nivalis,Sneeuwgors
257,Calamospiza melanocorys,Prairiegors
258,Regulus calendula,Roodkroonhaan
259,Regulus ignicapilla,Vuurgoudhaan
260,Regulus regulus,Goudhaan
261,Regulus satrapa,Amerikaanse goudhaan
262,Tyrannus melancholicus,Tropische koningstiran
263,Pelecanus conspicillatus,Australische pelikaan
264,Aulacorhynchus prasinus,Smaragdarassari
265,Todiramphus sanctus,Heilige ijsvogel
266,Icterus bullockii,Bullocks troepiaal
267,Spiza americana,Dickcissel
268,Tyrannus dominicensis,Grijze koningstiran
269,Chlidonias niger,Zwarte stern
270,Oriturus superciliosus,Zwartwanggors
271,Psarocolius montezuma,Montezuma oropendola
272,Turdus pilaris,Kramsvogel
273,Notiomystis cincta,Geelbandhoningeter
274,Sagittarius serpentarius,Secretarisvogel
275,Psittacula krameri,Halsbandparkiet
276,Platycercus eximius,Prachtrosella
277,Protonotaria citrea,Citroenzanger
278,Megaceryle torquata,Amerikaanse reuzenijsvogel
279,Nestor meridionalis,Kaka (vogel)
280,Amazona viridigenalis,Groenwangamazone
281,Amazona albifrons,Witvoorhoofdamazone
282,Amazona oratrix,Geelkopamazone
283,Saxicola rubetra,Paapje
284,Ara militaris,Soldatenara
285,Spizelloides arborea,Toendragors
286,Ceryle rudis,Bonte ijsvogel
287,Chloroceryle aenea,Groene dwergijsvogel
288,Chloroceryle amazona,Amazoneijsvogel
289,Myiozetetes similis,Roodkruintiran
290,Toxostoma curvirostre,Krombekspotlijster
291,Megaceryle alcyon,Bandijsvogel
292,Eremophila alpestris,Strandleeuwerik
293,Alisterus scapularis,Australische koningsparkiet
294,Cinnyris jugularis,Staalborsthoningzuiger
295,Xiphorhynchus flavigaster,Ivoorsnavelmuisspecht
296,Jacana jacana,Leljacana
297,Phalaropus fulicarius,Rosse franjepoot
298,Streptopelia turtur,Zomertortel
299,Pica hudsonia,Amerikaanse ekster
300,Corvus cornix,Bonte kraai
301,Myiopsitta monachus,Monniksparkiet
302,Streptopelia decaocto,Turkse tortel
303,Piranga ludoviciana,Louisianatangare
304,Ixobrychus exilis,Amerikaanse woudaap
305,Auriparus flaviceps,Geelkopmees
306,Geothlypis tolmiei,Rouwkopzanger
307,Columba livia,Rotsduif
308,Setophaga citrina,Monnikszanger
309,Setophaga cerulea,Azuurzanger
310,Columba palumbus,Houtduif
311,Piranga bidentata,Bloedtangare
312,Patagioenas leucocephala,Witkapduif
313,Patagioenas fasciata,Bandstaartduif
314,Patagioenas flavirostris,Roodsnavelduif
315,Setophaga discolor,Prairiezanger
316,Chordeiles minor,Amerikaanse nachtzwaluw
317,Chordeiles acutipennis,Texasnachtzwaluw
318,Platalea leucorodia,Lepelaar
319,Phalaenoptilus nuttallii,Poorwill
320,Haemorhous mexicanus,Mexicaanse roodmus
321,Haemorhous purpureus,Amerikaanse roodmus
322,Nyctidromus albicollis,Pauraque
323,Campephilus guatemalensis,Koningsspecht
324,Toxostoma rufum,Rosse spotlijster
325,Leptotila verreauxi,Verreaux' duif
326,Nyctibius jamaicensis,Noordelijke reuzennachtzwaluw
327,Anas penelope,Smient
328,Buteo plagiatus,Grijze buizerd
329,Selasphorus calliope,Calliopekolibrie
330,Megascops kennicottii,Westelijke schreeuwuil
331,Porphyrio poliocephalus,Grijskoppurperkoet
332,Megascops asio,Oostelijke schreeuwuil
333,Zenaida auriculata,Geoorde treurduif
334,Hymenolaimus malacorhynchos,Blauwe eend
335,Setophaga caerulescens,Blauwe zwartkeelzanger
336,Camptostoma imberbe,Chaparralvliegenpikker
337,Caracara plancus,Kuifcaracara
338,Columbina passerina,Musduif
339,Eupsittula nana,Olijfkeelaratinga
340,Nestor notabilis,Kea (vogel)
341,Columbina talpacoti,Steenduif
342,Geopelia striata,Zebraduif
343,Athene noctua,Steenuil
344,Crotophaga ani,Kleine ani
345,Sialia sialis,Roodkeelsialia
346,Platalea alba,Afrikaanse lepelaar
347,Bubo virginianus,Amerikaanse oehoe
348,Petrochelidon fulva,Holezwaluw
349,Progne subis,Purperzwaluw
350,Setophaga coronata auduboni,404
351,Hirundo neoxena,Welkomzwaluw
352,Hirundo rustica,Boerenzwaluw
353,Calidris virgata,Brandingloper
354,Calidris pugnax,Kemphaan
355,Platalea regia,Koningslepelaar
356,Tachycineta thalassina,Groene zwaluw
357,Bostrychia hagedash,Hadada-ibis
358,Riparia riparia,Oeverzwaluw
359,Eudocimus albus,Witte ibis
360,Plegadis falcinellus,Zwarte ibis
361,Plegadis chihi,Witmaskeribis
362,Corvus corax,Corvus corax
363,Stelgidopteryx serripennis,Noord-Amerikaanse ruwvleugelzwaluw
364,Sula dactylatra,Maskergent
365,Sula sula,Roodpootgent
366,Sula leucogaster,Bruine gent
367,Morus serrator,Pacifische jan-van-gent
368,Eudyptula minor,Dwergpinguïn
369,Megadyptes antipodes,Geeloogpinguïn
370,Scopus umbretta,Hamerkop
371,Troglodytes troglodytes,Winterkoning
372,Calidris canutus,Kanoet
373,Lanius collurio,Grauwe klauwier
374,Calidris bairdii,Bairds strandloper
375,Meleagris gallopavo intermedia,404
376,Calidris mauri,Alaskastrandloper
377,Calidris maritima,Paarse strandloper
378,Calidris alpina,Bonte strandloper
379,Calidris ferruginea,Krombekstrandloper
380,Calidris melanotos,Gestreepte strandloper
381,Limnodromus griseus,Kleine grijze snip
382,Malurus cyaneus,Ornaatelfje
383,Tringa nebularia,Groenpootruiter
384,Todiramphus sanctus vagans,404
385,Tringa ochropus,Witgat
386,Tringa glareola,Bosruiter
387,Tringa melanoleuca,Grote geelpootruiter
388,Tringa flavipes,Kleine geelpootruiter
389,Numenius arquata,Wulp
390,Numenius phaeopus,Regenwulp
391,Phalacrocorax carbo novaehollandiae,404
392,Petroica macrocephala macrocephala,404
393,Petroica australis longipes,404
394,Prosthemadera novaeseelandiae novaeseelandiae,404
395,Asio flammeus,Velduil
396,Rhipidura fuliginosa fuliginosa,404
397,Scolopax minor,Amerikaanse houtsnip
398,Arenaria interpres,Steenloper
399,Arenaria melanocephala,Zwarte steenloper
400,Rhipidura fuliginosa placabilis,404
401,Limosa limosa,Grutto
402,Limosa haemastica,Rode grutto
403,Limosa fedoa,Marmergrutto
404,Phalaropus lobatus,Grauwe franjepoot
405,Bartramia longicauda,Bartrams ruiter
406,Limosa lapponica,Rosse grutto
407,Aegolius acadicus,Zaaguil
408,Actitis hypoleucos,Oeverloper (vogel)
409,Trichoglossus haematodus,Regenbooglori
410,Surnia ulula,Sperweruil
411,Polioptila caerulea,Blauwgrijze muggenvanger
412,Spizella passerina,Musgors
413,Pycnonotus jocosus,Roodoorbuulbuul
414,Passerina cyanea,Indigogors
415,Passerina versicolor,Veelkleurengors
416,Manorina melanocephala,Tuinhoningeter
417,Ocyphaps lophotes,Spitskuifduif
418,Jabiru mycteria,Jabiroe
419,Pycnonotus cafer,Roodbuikbuulbuul
420,Anser cygnoides domesticus,404
421,Picus viridis,Groene specht
422,Phoebastria nigripes,Zwartvoetalbatros
423,Struthio camelus,Struisvogel
424,Phoebastria immutabilis,Laysanalbatros
425,Fulmarus glacialis,Noordse stormvogel
426,Francolinus pondicerianus,Grijze frankolijn
427,Cynanthus latirostris,Breedsnavelkolibrie
428,Podiceps nigricollis,Geoorde fuut
429,Podiceps cristatus,Fuut
430,Podiceps auritus,Kuifduiker
431,Dendrocopos major,Grote bonte specht
